,PropertyID,ListingDate,Address,City,State,ZipCode,PropertyType,Bedrooms,Bathrooms,SquareFeet,LotSize,YearBuilt,Garage,Pool,Fireplace,BasementSqFt,Condition,SchoolRating,CrimeRate,WalkScore,DistanceToCity,NeighborhoodIncome,PropertyTaxRate,HOAFees,DaysOnMarket,PriceReduction,ViewCount,SavedCount,PreviousPrice,SalePrice,CityPriceMean,CityfeetMean,property_type_Mean,condtion_metric,School_types,crime_types,walk_types,disctance_types,tax_types,inc_types,size_types,basement_types,bedroom_types,sales_types
0,56,,elmdr,Austin,Wa,27290,Singlefamily,5.0,4.0,1269.4,0.25,1979.0,0.0,0.0,1.0,704.7962962962963,1.0,2.2708515258960777,21.27,1.0,17.8,94361.0,1.747,230.0,34.0,No,889.0,,255261.0,504884.0,464545.17100210034,1269.3727629033933,230.0,,2.2708515258960777,10.795418274219614,8.8,3.6,4.7,4.6,0.3095180722891566,704.7962962962963,1.0,432576.2760801847
1,141,2022-11-18,oakave,Seattle,tx,27499,Condo,2.0,2.0,1164.0,0.45,1800.0,1.0,0.0,1.0,824.0123456790124,4.0,3.0,42.41,15.0,11.0,66828.0,0.362,423.0,31.0,No,2230.0,126.0,438126.0,453859.0,15230.135859425762,1237.039662869664,250.0,4.0,2.2161380050367865,10.001621245599653,11.0,3.8,3.8,3.2,0.26785714285714285,824.0123456790124,2.0,18551.830073782476
2,176,,mainblvd,Portland,co,68495-8899,Multi-Family,2.0,1.0,2243.0,0.17,1982.0,0.0,1.0,1.0,650.1,1.0,8.0,25.97,73.0,5.8,46819.0,1.142,300.0,98.0,,3629.0,57.0,,539674.0,257995.10677204048,1123.90459416158,300.0,,2.6171653713500764,9.295398487173363,8.3,2.5,2.4,2.7,0.27875,650.1,1.0,99585.52154337184
3,57,,mainst,Denver,co,37925,Townhouse,4.0,2.0,3046.0,0.15,1967.0,0.0,1.0,1.0,1228.0,5.0,1.0,0.0,66.0,17.1,6.2,1.28,401.0,62.0,Yes,4915.0,,100000.0,287015.18666441995,114208.78747842216,1447.7221254659405,290.0,5.0,2.2174434837338417,10.417700263424424,22.4,6.6,6.4,6.2,0.29559633027522936,703.4025974025974,2.0,287015.18666441995
4,342,,mainblvd,Portland,co,77027,Multi-Family,0.0,2.0,1931.0,0.05,1964.0,0.0,1.0,0.0,839.0,4.0,2.6171653713500764,13.16,8.3,8.3,94534.0,2.4,300.0,31.0,Yes,2859.0,135.0,364806.0,492709.0,257995.10677204048,1123.90459416158,300.0,4.0,2.6171653713500764,9.295398487173363,8.3,2.5,2.4,2.7,0.27875,650.1,1.0,99585.52154337184
5,297,2023/06/01,oakst,Denver,CO,41709,Condo,3.0,2.0,1447.7,0.15,1986.0,0.0,1.0,1.0,1127.0,4.0,8.0,4.84,77.0,2.8,82425.0,1.26,250.0,105.0,,348.0,153.0,415078.0,397018.0,114208.78747842216,1447.7221254659405,250.0,4.0,2.694115181987046,8.921234545869948,19.3,2.9,3.2,3.1,0.26785714285714285,824.0123456790124,2.0,18551.830073782476
6,378,10-01-2023,oakave,Portland,MA,14552,Multi-Family,1.0,4.0,628.0,0.43,1997.0,0.0,0.0,1.0,1154.0,1.0,8.0,21.35,34.0,7.6,132124.0,1.85,300.0,52.0,No,4672.0,69.0,732817.0,281476.0,257995.10677204048,1123.90459416158,300.0,,2.2161380050367865,10.001621245599653,11.0,3.8,3.8,3.2,0.27875,650.1,1.0,99585.52154337184
7,96,,oakblvd,Austin,CO,,Townhouse,3.0,1.0,1269.4,0.33,2050.0,0.0,0.0,1.0,703.4025974025974,4.0,1.326932531599117,6.426283888093325,24.0,0.2,56255.0,1.21,290.0,64.0,no,324.0,188.0,477648.0,2000000.0,464545.17100210034,1269.3727629033933,290.0,4.0,1.326932531599117,6.426283888093325,16.0,0.7,-0.3,0.6,0.29559633027522936,703.4025974025974,2.0,287015.18666441995
8,177,12/15/2022,pineblvd,Denver,tx,85617,Singlefamily,1.0,4.0,2679.0,0.29,2016.0,1.0,1.0,1.0,704.7962962962963,1.0,6.0,10.5,63.0,13.3,7.1,1.175,434.0,,yes,1061.0,180.0,315452.0,568975.0,114208.78747842216,1447.7221254659405,230.0,,3.3724289466936774,9.739847798300824,18.4,5.6,6.5,7.1,0.3095180722891566,704.7962962962963,1.0,432576.2760801847
9,328,2023-02-26,maplest,Portland,WA,74499,Condo,15.0,3.0,2997.0,0.03,1975.0,0.0,1.0,1.0,643.0,4.0,7.0,32.5,20.7,20.7,77278.0,1.497,250.0,,No,,,472337.0,1300537.0,257995.10677204048,1123.90459416158,250.0,4.0,2.950325347565087,13.407446244760893,20.7,1.5,3.7,5.1,0.26785714285714285,824.0123456790124,2.0,18551.830073782476
